Incident energy,MT=1 : (n,total),MT=2 : (z,elastic),MT=102 : (z,?)
Incident energy,,,
Incident energy,?(E),?(E),?(E)
12456.48,3.637613,3.630999,0.006613786
12456.66,3.636922,3.630953,0.005969117
12456.83,3.63633,3.63091,0.005419212
12457.17,3.635299,3.630826,0.004473885
12457.35,3.634829,3.630781,0.004047925
12457.52,3.634427,3.63074,0.003687676
12457.69,3.634063,3.630698,0.003364635
12457.86,3.633733,3.630657,0.00307545
12458.04,3.633417,3.630614,0.002802668
12458.21,3.633147,3.630573,0.002573528
12458.55,3.63268,3.630492,0.002187474
12458.89,3.632294,3.630412,0.00188203
12459.23,3.631974,3.630333,0.001641017
12459.43,3.63181,3.630286,0.001523838
12459.63,3.631662,3.63024,0.001421951
12460.02,3.631409,3.630149,0.001259721
12460.42,3.63119,3.630057,0.001132683
12460.81,3.631005,3.629967,0.001037343
12461.21,3.630837,3.629876,9.611433E-4
12461.6,3.630689,3.629786,9.023833E-4
